Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Apr 15  09:24    /ix_dat4/ix_dat4.7                                
informix       976.56M  Oct 05  17:44    /ix_dat4/ix_dat4.8                                
informix       976.56M  Oct 05  20:45    /ix_dat4/ix_dat4.9                                
informix       976.56M  Oct 27  2013     /archbkup/ach_dat1.50.bk                          
informix     147766.00M  Oct 01  01:55    /archbkup/ardb_bkup_L0.201710010119               
informix      2223.95M  Apr 08  2016     /archbkup/dbbkup/ip_arch05.exp/b3___00199.unl     
informix      9044.52M  Apr 08  2016     /archbkup/dbbkup/ip_arch05.exp/b3_li00201.unl     
informix      5985.28M  Apr 08  2016     /archbkup/dbbkup/ip_arch05.exp/b3_re00202.unl     
informix       716.35M  Apr 08  2016     /archbkup/dbbkup/ip_arch05.exp/b3_su00200.unl     
lchen          346.53M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010103000330.vax
lchen          363.48M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010103300400.vax
lchen          344.53M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010104000430.vax
lchen          352.84M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010104300500.vax
lchen          305.95M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010105000532.vax
lchen          302.01M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010105300601.vax
lchen          286.42M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010106000631.vax
lchen          290.02M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010106300701.vax
lchen          286.64M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010107000731.vax
lchen          303.89M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010107300801.vax
lchen          345.79M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010108000831.vax
lchen          377.54M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010108300901.vax
lchen          229.47M  Jan 03  2017     /archbkup/rcpbkup/done.20170101/31010109000931.vax
